,PLACEKEY,PARENT_PLACEKEY,LOCATION_NAME,SAFEGRAPH_BRAND_IDS,BRANDS,STORE_ID,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,ISO_COUNTRY_CODE,PHONE_NUMBER,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE,GEOMETRY_TYPE,DOMAINS,WEBSITE
3377,222-222@627-s8j-h3q,zzy-229@627-s8j-hbk,Vans,SG_BRAND_336d95866bf50e8249657647cb15b68c,Vans,,Shoe Stores,Shoe Stores,448210,40.735777,-73.991537,15 Union Sq W,New York,NY,10003.0,US,12128045890.0,"{ ""Mon"": [[""11:00"", ""19:00""]], ""Tue"": [[""11:00"", ""19:00""]], ""Wed"": [[""11:00"", ""19:00""]], ""Thu"": [[""11:00"", ""19:00""]], ""Fri"": [[""11:00"", ""19:00""]], ""Sat"": [[""11:00"", ""19:00""]], ""Sun"": [[""12:00"", ""18:00""]] }","Accessories,Children's Clothing,Hats,Men's Clothing,Women's Clothing",,,2019-07,POLYGON,"[""vans.com""]",
3379,225-222@627-s8j-2kz,,Union Square Wine & Spirits,,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,40.733718,-73.990036,140 4th Ave,New York,NY,10003.0,US,12126758100.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""12:00"", ""20:00""]] }",Alcoholic Beverages,,,2019-07,POLYGON,"[""unionsquarewines.com""]",http://www.unionsquarewines.com
3384,22h-223@627-s4v-3yv,,Ricardo Steak House,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.79353,-73.940664,2145 2nd Ave,New York,NY,10029.0,US,12122895895.0,"{ ""Mon"": [[""11:00"", ""23:00""]], ""Tue"": [[""11:00"", ""23:00""]], ""Wed"": [[""11:00"", ""23:00""]], ""Thu"": [[""11:00"", ""24:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""23:00""]] }","American Food,Seafood,Steak House",,,2019-07,POLYGON,"[""ricardosteakhouse.com""]",
3388,23d-222@627-s4r-wkz,,Paper House,,,,Consumer Goods Rental,All Other Consumer Goods Rental,532289,40.77894,-73.981101,269 Amsterdam Ave,New York,NY,10023.0,US,12127248085.0,"{ ""Mon"": [[""9:00"", ""20:30""]], ""Tue"": [[""9:00"", ""20:30""]], ""Wed"": [[""9:00"", ""20:30""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""19:30""]] }",Party Supplies,,,2019-07,POLYGON,[],
3390,zzw-223@627-s8h-zj9,,Taco Bell,SG_BRAND_748ba381dd81bb8de615319837ffa350,Taco Bell,26014.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.733225,-73.986158,18 E 14th St,New York,NY,10003.0,US,12126458645.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""8:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""8:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""8:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""8:00"", ""24:00""]], ""Fri"": [[""0:00"", ""4:30""], [""8:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:30""], [""8:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:30""], [""8:00"", ""24:00""]] }","Breakfast,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch,Mexican Food",2020-08,,2019-07,POLYGON,"[""tacobell.com""]",https://locations.tacobell.com/ny/new-york/18-e--14th-street.html
3393,226-222@627-s8q-syv,,Potbelly Sandwich Works,SG_BRAND_14223a0f5c0343028b9744ebb74e584d,Potbelly Sandwich Works,136899.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.757219,-73.970493,150 E 52nd St,New York,NY,10022.0,US,16462894208.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [] }","Breakfast,Catering,Counter Service,Dinner,Lunch,Sandwich Shop",,,2019-07,POLYGON,"[""potbelly.com""]",https://www.potbelly.com/locations/new-york/52nd-3rd
3394,228-222@627-s4k-p5f,,Spa Boutique,,,,Personal Care Services,"Hair, Nail, and Skin Care Services",81211,40.791553,-73.96894,692 Columbus Ave,New York,NY,10025.0,US,16464768378.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""10:00"", ""20:00""]] }",Spa,,,2019-07,POLYGON,[],
3396,228-222@627-wc7-q75,,Swift,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.727241,-73.992358,34 E 4th St,New York,NY,10003.0,US,12122603600.0,"{ ""Mon"": [[""0:00"", ""4:00""], [""16:00"", ""24:00""]], ""Tue"": [[""0:00"", ""4:00""], [""16:00"", ""24:00""]], ""Wed"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Cocktail Lounge,Late Night,Pizza,Sandwich Shop",,,2019-07,POLYGON,"[""swiftnycbar.com""]",http://www.swiftnycbar.com
3397,22b-222@627-s8r-8qf,225-23x@627-s8r-8qf,Trattoria Dell'Arte,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.765312,-73.980485,900 7th Ave,New York,NY,10106.0,US,12122459800.0,"{ ""Mon"": [[""12:00"", ""22:00""]], ""Tue"": [[""12:00"", ""23:00""]], ""Wed"": [[""12:00"", ""23:00""]], ""Thu"": [[""12:00"", ""23:00""]], ""Fri"": [[""12:00"", ""23:00""]], ""Sat"": [[""12:00"", ""23:00""]], ""Sun"": [[""12:00"", ""22:00""]] }",Italian Food,,,2019-07,POLYGON,"[""trattoriadellarte.com""]",http://www.trattoriadellarte.com
3399,22d-227@627-wbn-mx5,,The Standard Grill,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.740591,-74.007924,848 Washington St,New York,NY,10014.0,US,12126454100.0,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""22:00""]] }","American Food,Bar or Pub,Cocktail Lounge,Diner,Late Night",,,2019-07,POLYGON,"[""thestandardgrill.com""]",http://thestandardgrill.com
