,PLACEKEY,PARENT_PLACEKEY,LOCATION_NAME,SAFEGRAPH_BRAND_IDS,BRANDS,STORE_ID,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,ISO_COUNTRY_CODE,PHONE_NUMBER,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE,GEOMETRY_TYPE,DOMAINS,WEBSITE
0,22g-222@627-s8j-3kf,,The Belfry,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.732627,-73.986392,222 E 14th St,New York,NY,10003.0,US,12124736590.0,"{ ""Mon"": [[""17:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""15:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""15:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""]] }","Bar or Pub,Cocktail Lounge,Late Night",,,2019-07,POLYGON,"[""belfrynyc.com""]",http://www.belfrynyc.com
3,22n-222@627-wc6-z4v,,Foot Locker,SG_BRAND_3bbe7681bc7a60ed3d22764734cb699a,Foot Locker,2252865.0,Shoe Stores,Shoe Stores,448210,40.720048,-74.000968,440 Broadway,New York,NY,10013.0,US,12123437461.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Accessories,Children's Clothing,Hats,Men's Clothing,Women's Clothing",,,2019-07,POLYGON,"[""footlocker.com""]",https://stores.footlocker.com/ny/newyork/440-broadway-8879.html
4,22t-222@627-s8r-389,226-222@627-s8r-389,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,17631.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.756171,-73.970789,824 3rd Ave # 50,New York,NY,10022.0,US,16469186867.0,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Breakfast,Burgers,Counter Service,Dinner,Fast Food,Lunch",,,2019-07,POLYGON,"[""mcdonalds.com""]",https://www.mcdonalds.com/us/en-us/location/17631.html
7,233-222@627-s4n-tvz,,LUSH,SG_BRAND_73f7c3d6ad6e4a0c7697a7e6fcd3a8d6,LUSH,752.0,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,40.778438,-73.953659,206A E 86th St,New York,NY,10028.0,US,12122495194.0,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [[""11:00"", ""18:00""]] }","Accessories,Cosmetics,Perfume,Skin Care,Spa",,2023-11,2019-07,POLYGON,"[""lushusa.com""]",
12,zzw-22b@627-s8r-8sq,,T.J. Maxx,SG_BRAND_6ac3d7996fd37353f8027aee42005f19,T.J. Maxx,1163.0,Department Stores,Department Stores,452210,40.766523,-73.982798,250 W 57th St Fl 8,New York,NY,10107.0,US,12122456201.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Children's Clothing,Home Decor,Men's Clothing",,,2019-07,POLYGON,"[""tjx.com"",""tjmaxx.com""]",
13,zzw-22f@627-wbv-k9f,224-223@627-wbv-grk,LIDS,SG_BRAND_6679f28598318625b9e60f581a6df901,LIDS,5594.0,Clothing Stores,Clothing Accessories Stores,448150,40.756948,-73.988616,239 W 42nd St,New York,NY,10036.0,US,12125751711.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Accessories,Children's Clothing,Men's Clothing,Sportswear,Women's Clothing",,,2019-07,POLYGON,"[""lids.com""]",https://www.lids.com/store/lids-42nd-street-entertainment-center/sd-27947637+z-9850834-3364633173
16,224-222@627-s8k-qfz,,Horus Cafe,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.724524,-73.981435,93 Avenue B,New York,NY,10009.0,US,12127779199.0,"{ ""Mon"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Tue"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Wed"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Cocktail Lounge,Hookah,Late Night,Middle Eastern Food",,,2019-07,POLYGON,"[""horuscafe.com""]",https://www.horuscafe.com
19,22b-222@627-s8h-v4v,,The Globe,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.738852,-73.983787,158 E 23rd St,New York,NY,10010.0,US,12124776161.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Cocktail Lounge,Late Night",,,2019-07,POLYGON,"[""theglobeny.com""]",http://www.theglobeny.com
20,22d-222@627-s8r-m6k,,Isle of Capri,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.76285,-73.96602,1028 3rd Ave,New York,NY,10065.0,US,12127581902.0,"{ ""Mon"": [[""11:30"", ""22:00""]], ""Tue"": [[""11:30"", ""22:00""]], ""Wed"": [[""11:30"", ""22:00""]], ""Thu"": [[""11:30"", ""22:00""]], ""Fri"": [[""11:30"", ""22:00""]], ""Sat"": [[""11:30"", ""22:00""]], ""Sun"": [] }",Italian Food,,,2019-07,POLYGON,"[""isleofcapriny.com""]",http://www.isleofcapriny.com/
24,22j-222@627-wc7-t5f,,Happy Bowls NYC,,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.730781,-73.990212,61 4th Ave,New York,NY,10003.0,US,19172616081.0,"{ ""Mon"": [[""8:00"", ""15:00""]], ""Tue"": [[""8:00"", ""15:00""]], ""Wed"": [[""8:00"", ""15:00""]], ""Thu"": [[""8:00"", ""15:00""]], ""Fri"": [[""8:00"", ""15:00""]], ""Sat"": [[""10:00"", ""15:00""]], ""Sun"": [[""10:00"", ""15:00""]] }","Hawaiian Food,Smoothie & Juice Bar",,,2019-07,POLYGON,"[""happybowls.co""]",
25,22m-222@627-s4n-mtv,,Merrion Square Pub,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.783565,-73.947223,1840 2nd Ave,New York,NY,10128.0,US,12128317696.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]] }","Bar or Pub,Burgers,Late Night,Sports Bar",,,2019-07,POLYGON,"[""24cafes.com""]",http://merrionsquarepubnewyork.24cafes.com
29,232-224@627-s4r-wp9,,Tip Top Shoes,,,,Shoe Stores,Shoe Stores,448210,40.778338,-73.980574,155 W 72nd St,New York,NY,10023.0,US,12127874960.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",,,,2019-07,POLYGON,"[""tiptopshoes.com""]",http://www.tiptopshoes.com
31,zzw-225@627-s8r-389,,Staples,SG_BRAND_a4d18fc84a927940d1294e253001ce3d,Staples,5308.0,"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores,453210,40.755775,-73.971107,800 3rd Ave Frnt A,New York,NY,10022.0,US,12127521259.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""12:00"", ""18:00""]], ""Sun"": [[""11:00"", ""18:00""]] }","Accessories,Computers,Electronics,Furniture,Office Equipment",,,2019-07,POLYGON,"[""staples.com""]",https://stores.staples.com/ny/new-york/800-3rd-ave-frnt-a
32,zzw-225@627-s8r-qvf,,Equinox Fitness Clubs,SG_BRAND_0cf9d52fc56badb790a6c3965f24eb8c,Equinox Fitness Clubs,132.0,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,40.759848,-73.963083,330 E 61st St,New York,NY,10065.0,US,12123555100.0,"{ ""Mon"": [[""5:30"", ""22:00""]], ""Tue"": [[""5:30"", ""22:00""]], ""Wed"": [[""5:30"", ""22:00""]], ""Thu"": [[""5:30"", ""22:00""]], ""Fri"": [[""5:30"", ""20:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }","Barre,Kickboxing,Pilates,Spa,Yoga",,,2021-04,POLYGON,"[""equinox.com""]",https://www.equinox.com/clubs/new-york/uptown/east61st
34,zzw-22b@627-s8h-y7q,,Junoon,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.743244,-73.990761,19 W 24th St,New York,NY,10010.0,US,12124902100.0,"{ ""Mon"": [], ""Tue"": [[""17:30"", ""22:00""]], ""Wed"": [[""17:30"", ""22:00""]], ""Thu"": [[""11:45"", ""14:30""], [""17:30"", ""22:00""]], ""Fri"": [[""11:45"", ""14:30""], [""17:30"", ""22:30""]], ""Sat"": [[""11:45"", ""14:30""], [""17:30"", ""22:30""]], ""Sun"": [[""11:45"", ""14:30""], [""17:30"", ""22:00""]] }","Bar or Pub,Cocktail Lounge,Dessert,Fine Dining,Indian Food,Late Night",,,2019-07,POLYGON,"[""junoon.com"",""junoonnyc.com""]",http://junoonnyc.com
36,zzy-225@627-wc8-4qf,,sweetgreen,SG_BRAND_a5ea795ab3769f0392e3658d9e64e003,sweetgreen,43.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.72999,-74.002491,226 Bleecker St,New York,NY,10014.0,US,19176393212.0,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }","Counter Service,Dinner,Healthy Food,Lunch,Salad,Vegetarian Food",,,2019-07,POLYGON,"[""sweetgreen.com""]",https://order.sweetgreen.com/bleecker-6th
37,222-224@627-s8r-d35,,Skechers,SG_BRAND_73bcd2a79c09921b15bd63688ddb850f,Skechers,592.0,Shoe Stores,Shoe Stores,448210,40.753841,-73.980356,509 5th Ave,New York,NY,10017.0,US,12128831047.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""11:00"", ""18:00""]] }","Accessories,Children's Clothing,Hats,Men's Clothing,Women's Clothing",,,2019-07,POLYGON,"[""skechers.com""]",https://local.skechers.com/ny/new-york/592
38,223-223@627-s4r-5xq,22c-224@627-s4r-5xq,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,50611.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.772762,-73.989876,21 W End Ave,New York,NY,10023.0,US,19292430630.0,"{ ""Mon"": [[""5:30"", ""20:00""]], ""Tue"": [[""5:30"", ""20:00""]], ""Wed"": [[""5:30"", ""20:00""]], ""Thu"": [[""5:30"", ""20:00""]], ""Fri"": [[""5:30"", ""20:00""]], ""Sat"": [[""6:00"", ""17:30""]], ""Sun"": [[""6:00"", ""17:30""]] }","Bakery,Coffee Shop,Counter Service,Dessert,Snacks,Tea House",,,2019-07,POLYGON,"[""starbucks.com""]",https://www.starbucks.com/store-locator/store/1019664
39,zzy-225@627-wbt-qj9,,Ideal Market Place,,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.750005,-73.999058,317 9th Ave,New York,NY,10001.0,US,12127141522.0,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""22:00""]], ""Sun"": [[""7:00"", ""22:00""]] }",,,,2019-07,POLYGON,"[""idealsupermarket.com""]",
40,222-222@627-s6d-c89,zzy-22c@627-s6d-c89,Harlem Public,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.828754,-73.948412,3612 Broadway,New York,NY,10031.0,US,12129399404.0,"{ ""Mon"": [[""11:00"", ""24:00""]], ""Tue"": [[""11:00"", ""24:00""]], ""Wed"": [[""11:00"", ""24:00""]], ""Thu"": [[""11:00"", ""24:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""24:00""]] }","American Food,Bar or Pub,Late Night",,,2019-07,POLYGON,"[""harlempublic.com""]",https://www.harlempublic.com
41,222-222@627-s8r-2tv,,Ford Foundation,,,,Printing and Related Support Activities,,3231,40.749777,-73.97114,320 E 43rd St,New York,NY,10017.0,US,12125735000.0,"{ ""Mon"": [[""8:00"", ""16:00""]], ""Tue"": [[""8:00"", ""16:00""]], ""Wed"": [[""8:00"", ""16:00""]], ""Thu"": [[""8:00"", ""16:00""]], ""Fri"": [[""8:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON,"[""fordfoundation.org""]",http://www.fordfoundation.org
46,228-222@627-wc7-tqf,,Soba ya,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.729634,-73.987912,229 E 9th St,New York,NY,10003.0,US,12125336966.0,"{ ""Mon"": [[""12:00"", ""21:00""]], ""Tue"": [[""12:00"", ""21:00""]], ""Wed"": [[""12:00"", ""21:00""]], ""Thu"": [[""12:00"", ""21:00""]], ""Fri"": [[""12:00"", ""22:00""]], ""Sat"": [[""12:00"", ""22:00""]], ""Sun"": [[""12:00"", ""20:00""]] }","Japanese Food,Noodles",,,2019-07,POLYGON,"[""sobaya-nyc.com""]",http://www.sobaya-nyc.com
47,229-222@627-s8h-tvz,,Gramercy Cleaners,,,,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320,40.739639,-73.987627,44 E 22nd St,New York,NY,10010.0,US,12125336848.0,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [] }",Sewing and Alterations,,,2019-07,POLYGON,"[""hr-energy.com""]",
48,22b-22b@627-s4r-2hq,3h8-222@627-s4r-2hq,Lilac Nails Salon,,,,Personal Care Services,"Hair, Nail, and Skin Care Services",81211,40.767694,-73.983658,330 W 58th St,New York,NY,10019.0,US,16469644566.0,"{ ""Mon"": [[""9:30"", ""20:30""]], ""Tue"": [[""9:30"", ""20:30""]], ""Wed"": [[""9:30"", ""20:30""]], ""Thu"": [[""9:30"", ""20:30""]], ""Fri"": [[""9:30"", ""20:30""]], ""Sat"": [[""9:30"", ""20:30""]], ""Sun"": [[""10:30"", ""20:00""]] }",,,,2019-07,POLYGON,[],
51,225-222@627-s4w-2c5,229-224@627-s4w-2c5,Dunkin',SG_BRAND_9b4045db0fbb461cf9ed78916d9b16b4,Dunkin',339424.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.808114,-73.945769,105 W 125th St,New York,NY,10027.0,US,16463402833.0,"{ ""Mon"": [[""5:00"", ""23:00""]], ""Tue"": [[""5:00"", ""23:00""]], ""Wed"": [[""5:00"", ""23:00""]], ""Thu"": [[""5:00"", ""23:00""]], ""Fri"": [[""5:00"", ""23:00""]], ""Sat"": [[""5:00"", ""23:00""]], ""Sun"": [[""5:00"", ""23:00""]] }","Coffee Shop,Counter Service,Dessert,Donut Shop,Snacks",,,2019-07,POLYGON,"[""dunkindonuts.com""]",https://locations.dunkindonuts.com/en/339424
54,227-223@627-s4v-hkf,,Ranch Market,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.79454,-73.949212,1600 Madison Ave,New York,NY,10029.0,US,12122893802.0,"{ ""Mon"": [[""7:00"", ""21:30""]], ""Tue"": [[""7:00"", ""21:30""]], ""Wed"": [[""7:00"", ""21:30""]], ""Thu"": [[""7:00"", ""21:30""]], ""Fri"": [[""7:00"", ""21:30""]], ""Sat"": [[""8:00"", ""20:30""]], ""Sun"": [[""8:00"", ""20:30""]] }","Brunch,Salad,Smoothie & Juice Bar",,,2019-07,POLYGON,"[""ranch-market.com""]",
56,228-223@627-s8r-9cq,,Pazza Notte,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.76352,-73.97819,1375 6th Ave,New York,NY,10019.0,US,12127656288.0,"{ ""Mon"": [[""12:00"", ""21:45""]], ""Tue"": [[""12:00"", ""22:15""]], ""Wed"": [[""12:00"", ""22:15""]], ""Thu"": [[""12:00"", ""22:15""]], ""Fri"": [[""12:00"", ""22:15""]], ""Sat"": [[""12:00"", ""22:15""]], ""Sun"": [[""11:30"", ""21:45""]] }","Bar or Pub,Cocktail Lounge,Italian Food,Late Night,Pizza",,,2019-07,POLYGON,"[""pazzanotte.com""]",http://www.pazzanotte.com/
57,22k-222@627-s8h-whq,,Marie Robinson Salon,,,5108.0,Personal Care Services,Beauty Salons,812112,40.743684,-73.991156,40 W 25th St Fl 10,New York,NY,10010.0,US,12123587780.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }","Eyebrow Services,Hair Extensions,Hair Salon,Makeup Artist,Men's Haircuts,Skin Care",,,2019-07,POLYGON,"[""marierobinsonsalon.com""]",
64,zzw-22d@627-wbv-gff,,Dunkin',SG_BRAND_9b4045db0fbb461cf9ed78916d9b16b4,Dunkin',343107.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.755263,-73.98951,240 W 40th St,New York,NY,10018.0,US,12123959280.0,"{ ""Mon"": [[""5:30"", ""23:00""]], ""Tue"": [[""5:30"", ""23:00""]], ""Wed"": [[""5:30"", ""23:00""]], ""Thu"": [[""5:30"", ""23:00""]], ""Fri"": [[""5:30"", ""23:00""]], ""Sat"": [[""6:00"", ""21:00""]], ""Sun"": [[""6:00"", ""21:00""]] }","Coffee Shop,Counter Service,Dessert,Donut Shop,Snacks",,,2019-07,POLYGON,"[""dunkindonuts.com""]",https://locations.dunkindonuts.com/en/343107
66,224-222@627-s4n-mrk,,Key Food,SG_BRAND_b718bb44f07c2ad4,Key Food,1750.0,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.781955,-73.949102,1769 2nd Ave,New York,NY,10128.0,US,12128601903.0,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""7:00"", ""21:00""]], ""Sun"": [[""7:00"", ""20:00""]] }","Beverages,Discount Store,Healthy Food,Meats,Soup",,,2019-07,POLYGON,"[""keyfood.com""]",https://www.keyfood.com/store/store/1750
67,226-222@627-wc2-5j9,,Chipotle Mexican Grill,SG_BRAND_87bd111b6dd52ef32eaf3abf6d509065,Chipotle Mexican Grill,1836.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.710748,-74.016413,325 S End Ave,New York,NY,10280.0,US,12122673818.0,"{ ""Mon"": [[""10:45"", ""23:00""]], ""Tue"": [[""10:45"", ""23:00""]], ""Wed"": [[""10:45"", ""23:00""]], ""Thu"": [[""10:45"", ""23:00""]], ""Fri"": [[""10:45"", ""23:00""]], ""Sat"": [[""10:45"", ""23:00""]], ""Sun"": [[""10:45"", ""23:00""]] }","Catering,Counter Service,Dinner,Lunch,Mexican Food",,,2019-07,POLYGON,"[""chipotle.com""]",https://locations.chipotle.com/ny/new-york/325-s-end-ave
70,224-223@627-s4m-4y9,,Living Thai,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.800137,-73.965545,931 Amsterdam Ave,New York,NY,10025.0,US,12122222600.0,"{ ""Mon"": [[""12:00"", ""22:30""]], ""Tue"": [[""12:00"", ""22:30""]], ""Wed"": [[""12:00"", ""22:30""]], ""Thu"": [[""12:00"", ""22:30""]], ""Fri"": [[""12:00"", ""22:30""]], ""Sat"": [[""12:00"", ""22:30""]], ""Sun"": [[""12:00"", ""22:30""]] }","Dessert,Soup,Thai Food",,,2019-07,POLYGON,"[""orderlivingthaicuisine.com""]",http://orderlivingthaicuisine.com
71,224-224@627-wbv-gx5,224-225@627-wbv-gx5,Duane Reade by Walgreens,SG_BRAND_e18162f6fbe7ffc48f73af49ba89959f,Duane Reade by Walgreens,14217.0,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,40.756284,-73.990913,625 8th Ave,New York,NY,10018.0,US,12122730889.0,"{ ""Mon"": [[""6:00"", ""24:00""]], ""Tue"": [[""6:00"", ""24:00""]], ""Wed"": [[""6:00"", ""24:00""]], ""Thu"": [[""6:00"", ""24:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""24:00""]] }",,,,2019-07,POLYGON,"[""walgreens.com"",""duanereade.com""]",https://www.walgreens.com/locator/duane+reade-625+8th+ave-new+york-ny-10018/id=14217
72,22f-223@627-s8r-c89,,Via Brasil Restaurant,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.756547,-73.980751,34 W 46th St,New York,NY,10036.0,US,12129971158.0,"{ ""Mon"": [[""12:00"", ""20:00""]], ""Tue"": [[""12:00"", ""20:00""]], ""Wed"": [[""12:00"", ""20:15""]], ""Thu"": [[""12:00"", ""20:15""]], ""Fri"": [[""12:00"", ""20:45""]], ""Sat"": [[""12:00"", ""20:45""]], ""Sun"": [[""12:00"", ""20:00""]] }","Bar or Pub,Brazilian Food,Cocktail Lounge,Late Night,Seafood",,,2019-07,POLYGON,"[""viabrasilrestaurant.com""]",http://www.viabrasilrestaurant.com
73,22n-222@627-s8r-n5z,22f-224@627-s8r-n5z,Hairapy By E T,,,,Personal Care Services,"Hair, Nail, and Skin Care Services",81211,40.768343,-73.961839,1202 3rd Ave,New York,NY,10021.0,US,12122496081.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",Hair Salon,,,2019-07,POLYGON,"[""hairapybyet.com""]",http://hairapybyet.com
76,zzw-223@627-s4n-5mk,zzy-225@627-s4p-2x5,Agata & Valentina,,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.772212,-73.95311,1505 1st Ave,New York,NY,10075.0,US,12124520690.0,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,,,2019-07,POLYGON,"[""agatavalentina.com""]",http://www.agatavalentina.com/
77,zzw-226@627-s8h-v4v,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),1371388.0,Postal Service,Postal Service,491110,40.739356,-73.983825,149 E 23rd St,New York,NY,10010.0,US,12126733771.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""16:00""]], ""Sun"": [] }",,,,2019-07,POLYGON,"[""usps.com""]",https://tools.usps.com/find-location.htm?location=1371388
78,zzw-22f@627-wc8-2kz,,Bowery & Vine,,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,40.723593,-73.992544,269 Bowery,New York,NY,10002.0,US,12129417943.0,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""12:00"", ""20:00""]] }",Alcoholic Beverages,,,2019-07,POLYGON,"[""boweryandvine.com""]",http://www.boweryandvine.com
